P_k,k
8.0318e+10,1
3.2288e+07,2
2.10259e+07,3
1.66643e+07,4
8.77034e+06,5
9.17869e+06,6
7.6448e+06,7
7.06215e+06,8
5.22721e+06,9
6.47769e+06,10
5.05205e+06,11
6.21496e+06,12
5.13753e+06,13
4.21414e+06,14
4.47731e+06,15
3.96882e+06,16
4.09334e+06,17
3.57817e+06,18
3.51146e+06,19
3.41004e+06,20
3.23721e+06,21
2.95088e+06,22
3.04493e+06,23
2.65894e+06,24
2.91799e+06,25
2.66544e+06,26
2.57101e+06,27
2.53797e+06,28
2.46783e+06,29
2.47035e+06,30
2.34778e+06,31
2.30641e+06,32
2.23223e+06,33
2.39909e+06,34
2.09482e+06,35
2.29613e+06,36
2.12941e+06,37
2.16388e+06,38
2.10551e+06,39
2.15175e+06,40
2.20924e+06,41
2.06401e+06,42
2.19428e+06,43
2.07066e+06,44
2.18099e+06,45
2.01135e+06,46
1.89272e+06,47
1.82657e+06,48
1.83085e+06,49
1.77756e+06,50
1.75317e+06,51
1.66252e+06,52
1.638e+06,53
1.66417e+06,54
1.57685e+06,55
1.55263e+06,56
1.57019e+06,57
1.61067e+06,58
1.51923e+06,59
1.52544e+06,60
1.50496e+06,61
1.49805e+06,62
1.38855e+06,63
1.36754e+06,64
1.2601e+06,65
1.20632e+06,66
1.17029e+06,67
1.19053e+06,68
1.04311e+06,69
1.02111e+06,70
937393,71
955458,72
1.00296e+06,73
1.00896e+06,74
871431,75
930344,76
821328,77
613385,78
657406,79
318699,80
